concepto,tipo_concepto,conteo_total,Categoria_raw,rule_action,include_in_count,es_remap,concepto_canonico,concepto_key,tipo_concepto_key,canon_key,compile_status,issue_reason,duplicate_count,source_rows,categoria_fuente_all
Combo de Chilaquiles,base,110.0,Combos,direct,True,False,Combo de Chilaquiles,combo de chilaquiles,base,combo de chilaquiles,ok,,1,132,Combos
Combo Volador,base,103.0,Combos,direct,True,False,Combo Volador,combo volador,base,combo volador,ok,,1,133,Combos
Paloma,base,96.0,Bebidas Alcohólicas,direct,True,False,Paloma,paloma,base,paloma,ok,,1,134,Bebidas Alcohólicas
Tarro Clamato,complemento,94.0,Modificadores,direct,True,False,Tarro Clamato,tarro clamato,complemento,tarro clamato,ok,,1,135,Modificadores
México,complemento,92.0,Contar como Paquete México,count_as,True,True,Paquete México,mexico,complemento,paquete mexico,ok,,1,136,Contar como Paquete México
Pepinillos,complemento,92.0,Complementos,direct,True,False,Pepinillos,pepinillos,complemento,pepinillos,ok,,1,137,Complementos
Cerveza,complemento,90.0,Contar como Cerveza Botella,count_as,True,True,Cerveza Botella,cerveza,complemento,cerveza botella,ok,,1,139,Contar como Cerveza Botella
Cheese Burger,base,90.0,Alimentos,direct,True,False,Cheese Burger,cheese burger,base,cheese burger,ok,,1,140,Alimentos
Mojitos,base,90.0,Bebidas Alcohólicas,direct,True,False,Mojitos,mojitos,base,mojitos,ok,,1,138,Bebidas Alcohólicas
Jueves de Alitas 25x269,base,87.0,Combos,direct,True,False,Jueves de Alitas 25x269,jueves de alitas 25x269,base,jueves de alitas 25x269,ok,,1,142,Combos
Sandwich Crispier Individual,base,87.0,Alimentos,direct,True,False,Sandwich Crispier Individual,sandwich crispier individual,base,sandwich crispier individual,ok,,1,143,Alimentos
Tarro Cubano,complemento,87.0,Modificadores,direct,True,False,Tarro Cubano,tarro cubano,complemento,tarro cubano,ok,,1,141,Modificadores
Grandes,complemento,83.0,Modificadores,direct,True,False,Grandes,grandes,complemento,grandes,ok,,1,144,Modificadores
Papas W,base,82.0,Complementos,direct,True,False,Papas W,papas w,base,papas w,ok,,1,145,Complementos
Ranch,complemento,81.0,Modificadores,direct,True,False,Ranch,ranch,complemento,ranch,ok,,1,146,Modificadores
Agua de Sabor Embotellada,base,79.0,No contar,exclude,False,False,Agua de Sabor Embotellada,agua de sabor embotellada,base,agua de sabor embotellada,ok,,1,147,No contar
Refresco en Lata,base,77.0,No contar,exclude,False,False,Refresco en Lata,refresco en lata,base,refresco en lata,ok,,1,148,No contar
Margaritas,base,76.0,Bebidas Alcohólicas,direct,True,False,Margaritas,margaritas,base,margaritas,ok,,1,149,Bebidas Alcohólicas
Refresco,base,75.0,No contar,exclude,False,False,Refresco,refresco,base,refresco,ok,,1,150,No contar
Coca Regular,complemento,74.0,Contar como Coca-Cola Regular,count_as,True,True,Coca-Cola Regular,coca regular,complemento,coca-cola regular,ok,,1,151,Contar como Coca-Cola Regular
Crispier Sauce,base,69.0,Modificadores,direct,True,False,Crispier Sauce,crispier sauce,base,crispier sauce,ok,,1,153,Modificadores
Burrita de Cajeta,base,68.0,Postre,direct,True,False,Burrita de Cajeta,burrita de cajeta,base,burrita de cajeta,ok,,1,154,Postre
Con cebolla caramelizada,complemento,67.0,Modificadores,direct,True,False,Con cebolla caramelizada,con cebolla caramelizada,complemento,con cebolla caramelizada,ok,,1,155,Modificadores
Si Jalapeños,complemento,65.0,Modificadores,direct,True,False,Si Jalapeños,si jalapenos,complemento,si jalapenos,ok,,1,156,Modificadores
Guacamolito,complemento,63.0,contar como Guacamolito,count_as,True,True,Guacamolito,guacamolito,complemento,guacamolito,ok,,1,157,contar como Guacamolito
Combo Sandwich CRISPIER,base,62.0,Combos,direct,True,False,Combo Sandwich CRISPIER,combo sandwich crispier,base,combo sandwich crispier,ok,,1,158,Combos
BurriCombo de Asada,base,61.0,Combos,direct,True,False,BurriCombo de Asada,burricombo de asada,base,burricombo de asada,ok,,1,159,Combos
Buffalo,base,58.0,Contar como Buffalo,count_as,True,True,Buffalo,buffalo,base,buffalo,ok,,1,162,Contar como Buffalo
Chicken Sandwich,base,58.0,Alimentos,direct,True,False,Chicken Sandwich,chicken sandwich,base,chicken sandwich,ok,,1,161,Alimentos
Combo Flautas 15 piezas,base,58.0,Combos,direct,True,False,Combo Flautas 15 piezas,combo flautas 15 piezas,base,combo flautas 15 piezas,ok,,1,160,Combos
Asada,complemento,56.0,Contar como Burrito de Asada,count_as,True,True,Burrito de Asada,asada,complemento,burrito de asada,ok,,1,163,Contar como Burrito de Asada
Dedos De Nutella,base,54.0,Complementos,direct,True,False,Dedos De Nutella,dedos de nutella,base,dedos de nutella,ok,,1,165,Complementos
Extra Ranch,base,54.0,Extras,direct,True,False,Extra Ranch,extra ranch,base,extra ranch,ok,,1,166,Extras
Plato de Chilaquiles,base,54.0,Alimentos,direct,True,False,Plato de Chilaquiles,plato de chilaquiles,base,plato de chilaquiles,ok,,1,164,Alimentos
Blue Cheese,complemento,51.0,Contar Blue Cheese,count_as,True,True,Blue Cheese,blue cheese,complemento,blue cheese,ok,,1,167,Contar Blue Cheese
Alitas 20 Piezas,base,48.0,Alimentos,direct,True,False,Alitas 20 Piezas,alitas 20 piezas,base,alitas 20 piezas,ok,,1,170,Alimentos
Promo Burrote + Guacamole,base,48.0,Combos,direct,True,False,Promo Burrote + Guacamole,promo burrote guacamole,base,promo burrote guacamole,ok,,1,168,Combos
Tequeños,base,48.0,Complementos,direct,True,False,Tequeños,tequenos,base,tequenos,ok,,1,169,Complementos
Chilangazo,complemento,47.0,Contar como Burrito Chilangazo,count_as,True,True,Burrito Chilangazo,chilangazo,complemento,burrito chilangazo,ok,,1,171,Contar como Burrito Chilangazo
Honey Mustard,base,44.0,Complementos,direct,True,False,Honey Mustard,honey mustard,base,honey mustard,ok,,1,172,Complementos
Boneless 20 Piezas,base,42.0,Alimentos,direct,True,False,Boneless 20 Piezas,boneless 20 piezas,base,boneless 20 piezas,ok,,1,173,Alimentos
Santi,complemento,42.0,Contar como Burrito Santi,count_as,True,True,Burrito Santi,santi,complemento,burrito santi,ok,,1,174,Contar como Burrito Santi
Ranch Original,base,41.0,Complementos,direct,True,False,Ranch Original,ranch original,base,ranch original,ok,,1,175,Complementos
Promo Burrote + Burri Papas Chicas,base,40.0,Combos,direct,True,False,Promo Burrote + Burri Papas Chicas,promo burrote burri papas chicas,base,promo burrote burri papas chicas,ok,,1,176,Combos
Sin cebolla caramelizada,complemento,38.0,Modificadores,direct,True,False,Sin cebolla caramelizada,sin cebolla caramelizada,complemento,sin cebolla caramelizada,ok,,1,177,Modificadores
Coca Sin Azucar,complemento,37.0,Contar como Coca-Cola Sin Azucar,count_as,True,True,Coca-Cola Sin Azucar,coca sin azucar,complemento,coca-cola sin azucar,ok,,1,178,Contar como Coca-Cola Sin Azucar
Agua de Horchata Artesanal,base,34.0,Contar como Agua de Horchata Embotellada,count_as,True,True,Agua de Horchata Embotellada,agua de horchata artesanal,base,agua de horchata embotellada,ok,,1,180,Contar como Agua de Horchata Embotellada
Extra Queso,complemento,34.0,Contar como Extra Queso,count_as,True,True,Extra Queso,extra queso,complemento,extra queso,ok,,1,179,Contar como Extra Queso
Fanta,complemento,33.0,Bebidas,direct,True,False,Fanta,fanta,complemento,fanta,ok,,1,182,Bebidas
Norteño NY,complemento,33.0,Contar como Burrito Norteño New York,count_as,True,True,Burrito Norteño New York,norteno ny,complemento,burrito norteno new york,ok,,1,181,Contar como Burrito Norteño New York
Bbq Original,base,29.0,Contar como BBQ,count_as,True,True,BBQ,bbq original,base,bbq,ok,,1,184,Contar como BBQ
Extra Blue Cheese,base,29.0,Extras,direct,True,False,Extra Blue Cheese,extra blue cheese,base,extra blue cheese,ok,,1,183,Extras
Agua Embotellada,base,27.0,No contar,exclude,False,False,Agua Embotellada,agua embotellada,base,agua embotellada,ok,,1,186,No contar
De Autor,base,27.0,Bebidas Alcohólicas,direct,True,False,De Autor,de autor,base,de autor,ok,,1,187,Bebidas Alcohólicas
Doble porción de papas,complemento,27.0,Extras,direct,True,False,Doble porción de papas,doble porcion de papas,complemento,doble porcion de papas,ok,,1,185,Extras
Coleslaw,base,26.0,Contar como Coleslaw,count_as,True,True,Coleslaw,coleslaw,base,coleslaw,ok,,1,188,Contar como Coleslaw
Caipirinha,base,25.0,Bebidas Alcohólicas,direct,True,False,Caipirinha,caipirinha,base,caipirinha,ok,,1,191,Bebidas Alcohólicas
Combo Para Dos,base,25.0,Combos,direct,True,False,Combo Para Dos,combo para dos,base,combo para dos,ok,,1,190,Combos
Elote,base,25.0,Complementos,direct,True,False,Elote,elote,base,elote,ok,,1,189,Complementos
Malteada Oreo,base,25.0,Contar como Malteada Oreo,count_as,True,True,Malteada Oreo,malteada oreo,base,malteada oreo,ok,,1,192,Contar como Malteada Oreo
Cerveza,base,24.0,Contar como Cerveza Botella,count_as,True,True,Cerveza Botella,cerveza,base,cerveza botella,ok,,1,194,Contar como Cerveza Botella
Sandwich Crispier,complemento,24.0,Contar como Sandwich Crispier Individual,count_as,True,True,Sandwich Crispier Individual,sandwich crispier,complemento,sandwich crispier individual,ok,,1,193,Contar como Sandwich Crispier Individual
Aperol Spritz,base,23.0,Bebidas Alcohólicas,direct,True,False,Aperol Spritz,aperol spritz,base,aperol spritz,ok,,1,197,Bebidas Alcohólicas
Blue Cheese,base,23.0,Modificadores,direct,True,False,Blue Cheese,blue cheese,base,blue cheese,ok,,1,196,Modificadores
Extra Salsa México,base,23.0,Extras,direct,True,False,Extra Salsa México,extra salsa mexico,base,extra salsa mexico,ok,,1,198,Extras
Gin & Tonics,base,23.0,Bebidas Alcohólicas,direct,True,False,Gin & Tonics,gin tonics,base,gin tonics,ok,,1,195,Bebidas Alcohólicas
Refrescos ¡Bien Fríos!,base,23.0,No contar,exclude,False,False,Refrescos ¡Bien Fríos!,refrescos bien frios,base,refrescos bien frios,ok,,1,199,No contar
Agua Jaimaica,complemento,22.0,Contar como Agua Jamaica Embotellada,count_as,True,True,Agua Jamaica Embotellada,agua jaimaica,complemento,agua jamaica embotellada,ok,,1,202,Contar como Agua Jamaica Embotellada
Extra Bufalo,base,22.0,Extras,direct,True,False,Extra Bufalo,extra bufalo,base,extra bufalo,ok,,1,203,Extras
Extra Tocino,base,22.0,Extras,direct,True,False,Extra Tocino,extra tocino,base,extra tocino,ok,,1,204,Extras
Huevo,complemento,22.0,Complementos,direct,True,False,Huevo,huevo,complemento,huevo,ok,,1,201,Complementos
Malteada Vainilla,base,21.0,Contar como Malteada Vainilla,count_as,True,True,Malteada Vainilla,malteada vainilla,base,malteada vainilla,ok,,1,206,Contar como Malteada Vainilla
Tocino,complemento,21.0,Complementos,direct,True,False,Tocino,tocino,complemento,tocino,ok,,1,205,Complementos
Cantarito,base,20.0,Bebidas Alcohólicas,direct,True,False,Cantarito,cantarito,base,cantarito,ok,,1,207,Bebidas Alcohólicas
Mega Buffalon,base,20.0,Alimentos,direct,True,False,Mega Buffalon,mega buffalon,base,mega buffalon,ok,,1,208,Alimentos
Aros de Cebolla,complemento,19.0,Contar como Aros de Cebolla,count_as,True,True,Aros de Cebolla,aros de cebolla,complemento,aros de cebolla,ok,,1,211,Contar como Aros de Cebolla
Malteada Vainilla,complemento,19.0,Bebidas,direct,True,False,Malteada Vainilla,malteada vainilla,complemento,malteada vainilla,ok,,1,209,Bebidas
Agua de Horchata,complemento,18.0,Contar como Agua de Horchata Embotellada,count_as,True,True,Agua de Horchata Embotellada,agua de horchata,complemento,agua de horchata embotellada,ok,,1,214,Contar como Agua de Horchata Embotellada
Extra Mango Habanero,base,18.0,Extras,direct,True,False,Extra Mango Habanero,extra mango habanero,base,extra mango habanero,ok,,1,215,Extras
Malteada Oreo,complemento,18.0,Bebidas,direct,True,False,Malteada Oreo,malteada oreo,complemento,malteada oreo,ok,,1,213,Bebidas
Sandwich Clásico Individual,base,18.0,Alimentos,direct,True,False,Sandwich Clásico Individual,sandwich clasico individual,base,sandwich clasico individual,ok,,1,212,Alimentos
Agua de Sabor,base,17.0,No contar,exclude,False,False,Agua de Sabor,agua de sabor,base,agua de sabor,ok,,1,218,No contar
Negroni,base,17.0,Bebidas Alcohólicas,direct,True,False,Negroni,negroni,base,negroni,ok,,1,217,Bebidas Alcohólicas
Spicy Boneless,complemento,17.0,Contar como Burrito Spicy Boneless,count_as,True,True,Burrito Spicy Boneless,spicy boneless,complemento,burrito spicy boneless,ok,,1,216,Contar como Burrito Spicy Boneless
Delux Supremo,base,16.0,Alimentos,direct,True,False,Delux Supremo,delux supremo,base,delux supremo,ok,,1,219,Alimentos
Extra BBQ,base,16.0,Extras,direct,True,False,Extra BBQ,extra bbq,base,extra bbq,ok,,1,222,Extras
Extra Crema,base,16.0,Extras,direct,True,False,Extra Crema,extra crema,base,extra crema,ok,,1,221,Extras
Malteada Nutella,base,16.0,Contar como Malteada Nutella,count_as,True,True,Malteada Nutella,malteada nutella,base,malteada nutella,ok,,1,220,Contar como Malteada Nutella
Agua de Jamaica Natural,base,15.0,Contar como Agua Jamaica Embotellada,count_as,True,True,Agua Jamaica Embotellada,agua de jamaica natural,base,agua jamaica embotellada,ok,,1,225,Contar como Agua Jamaica Embotellada
BurriCombo Santi,base,15.0,Combos,direct,True,False,BurriCombo Santi,burricombo santi,base,burricombo santi,ok,,1,226,Combos
Coca Light,complemento,15.0,Contar como Coca-Cola Light,count_as,True,True,Coca-Cola Light,coca light,complemento,coca-cola light,ok,,1,224,Contar como Coca-Cola Light
Jalapeño Individual,base,14.0,Complementos,direct,True,False,Jalapeño Individual,jalapeno individual,base,jalapeno individual,ok,,1,228,Complementos
Sin Crema,complemento,14.0,Modificadores,direct,True,False,Sin Crema,sin crema,complemento,sin crema,ok,,1,227,Modificadores
BurriCombo Chilangazo,base,13.0,Combos,direct,True,False,BurriCombo Chilangazo,burricombo chilangazo,base,burricombo chilangazo,ok,,1,230,Combos
Coleslaw,complemento,13.0,Complementos,direct,True,False,Coleslaw,coleslaw,complemento,coleslaw,ok,,1,229,Complementos
Agua mineral,base,12.0,Contar como Agua Mineral,count_as,True,True,Agua Mineral,agua mineral,base,agua mineral,ok,,2,"232,248",Contar como Agua Mineral
Dr. Pepper,base,12.0,Bebidas,direct,True,False,Dr. Pepper,dr pepper,base,dr pepper,ok,,1,234,Bebidas
Malteada Nutella,complemento,12.0,Bebidas,direct,True,False,Malteada Nutella,malteada nutella,complemento,malteada nutella,ok,,1,235,Bebidas
Sandwich Clásico,complemento,12.0,Contar como Sandwich Clásico Individual,count_as,True,True,Sandwich Clásico Individual,sandwich clasico,complemento,sandwich clasico individual,ok,,1,231,Contar como Sandwich Clásico Individual
